country,rank,centralized_service_value_received_rank,retail_centralized_service_value_received_rank,p2p_exchange_trade_volume_rank,defi_value_received_rank,retail_defi_value_received_rank,rank_note
Vietnam,1,5,5,2,7,6,
Philippines,2,4,4,66,13,5,
Ukraine,3,6,6,39,10,14,
India,4,1,1,82,1,1,
United States,5,3,3,111,3,2,
Pakistan,6,10,10,50,22,16,
Brazil,7,7,7,113,8,7,
Thailand,8,12,12,61,5,3,
Russia,9,8,8,109,11,12,
China,10,2,2,144,6,4,
Nigeria,11,18,18,17,20,17,
Turkey,12,9,9,121,19,15,
Argentina,13,13,13,26,21,25,
Morocco,14,19,19,21,33,18,
Colombia,15,23,23,10,27,29,
Nepal,16,17,17,19,34,41,
United Kingdom,17,14,14,71,12,11,
Ecuador,18,37,37,6,45,56,
Kenya,19,43,43,5,9,34,
Indonesia,20,16,16,129,18,13,
Germany,21,22,22,114,15,10,
Canada,22,28,28,96,14,8,
South Korea,23,11,11,141,28,22,
Egypt,24,15,15,110,57,47,
Belarus,25,31,31,29,43,57,
Japan,26,20,20,143,17,9,
Cambodia,27,38,38,28,29,23,
Mexico,28,21,21,122,23,19,
Malaysia,29,42,42,31,38,32,
South Africa,30,29,29,81,41,31,
Palestine,31,45,45,15,94,93,
France,32,26,26,101,16,20,
Poland,33,25,25,102,32,30,
Spain,34,27,27,99,24,26,
Peru,35,39,39,45,39,50,
Bangladesh,36,30,30,92,48,39,
Georgia,37,47,47,33,53,52,
Portugal,38,51,51,24,40,36,
Netherlands,39,41,41,69,26,24,
Australia,40,40,40,90,25,21,
Moldova,41,49,49,27,72,88,
Bolivia,42,54,54,20,93,91,
Dominican Republic,43,64,64,13,87,74,
Somalia,44,75,75,7,131,128,
Algeria,45,34,34,100,50,43,
Hong Kong,46,50,50,52,35,33,
Tanzania,47,81,81,9,61,42,
Bulgaria,48,48,48,54,42,44,
Ghana,49,66,66,14,68,58,
Tunisia,50,63,63,22,64,68,
Italy,51,32,32,132,30,27,
Iraq,52,24,24,130,98,101,
Taiwan,53,33,33,124,31,35,
Jamaica,54,97,97,4,100,98,
El Salvador,55,61,61,36,89,83,
Chile,56,58,58,53,37,40,
Côte d'Ivoire,57,76,76,23,78,64,
Sri Lanka,58,59,59,48,54,63,
Serbia,59,67,67,34,75,60,
Mozambique,60,36,36,125,63,62,
Kazakhstan,61,44,44,115,73,59,
Czech Republic,62,52,52,89,44,48,
Singapore,63,55,55,80,47,51,
Ethiopia,64,62,62,67,66,46,
Costa Rica,65,86,86,16,84,80,
Switzerland,66,57,57,76,36,38,
Saudi Arabia,67,35,35,133,91,81,
Jordan,68,60,60,68,88,78,
Guatemala,69,65,65,57,111,107,
Belize,70,106,106,8,109,71,
Seychelles,71,123,123,1,110,114,
Zimbabwe,72,69,69,47,117,119,
Myanmar,73,53,53,103,95,89,
Cameroon,74,102,102,12,79,102,
Armenia,75,72,72,70,49,45,
Romania,76,56,56,118,55,49,
Kyrgyzstan,77,73,73,84,51,37,
Sweden,78,85,85,44,62,67,
Democratic Republic of the Congo,79,80,80,98,46,28,
Slovakia,80,70,70,95,70,69,
Rwanda,81,103,103,18,107,108,
Estonia,82,95,95,38,60,75,
Uruguay,83,96,96,32,114,118,
Mongolia,84,77,77,87,71,70,
Greece,85,68,68,117,59,53,
Laos,86,88,88,59,83,86,
Uzbekistan,87,46,46,140,99,77,
Finland,88,78,78,97,65,79,
Lebanon,89,90,90,56,2,72,
Honduras,90,84,84,73,4,54,
Hungary,91,79,79,112,81,73,
Latvia,92,98,98,55,96,92,
Togo,93,82,82,104,101,85,
Belgium,94,74,74,128,58,55,
Paraguay,95,92,92,62,106,113,
Albania,96,105,105,49,86,76,
Mali,97,112,112,25,134,130,
Madagascar,98,71,71,123,124,115,
Nicaragua,99,104,104,42,116,117,
Uganda,100,89,89,91,105,105,
Barbados,101,121,121,11,136,137,
Lithuania,102,93,93,86,92,90,
Croatia,103,91,91,93,80,84,
Panama,104,107,107,43,74,96,
Senegal,105,115,115,37,104,82,
Benin,106,94,94,85,52,103,
Austria,107,83,83,127,56,66,
New Zealand,108,99,99,94,76,61,
Azerbaijan,109,100,100,88,102,94,
Cyprus,110,118,118,40,103,104,
Israel,111,101,101,105,77,65,
Macedonia,112,111,111,63,97,87,
Slovenia,113,87,87,131,90,97,
Norway,114,108,108,83,85,99,
Bosnia and Herzegovina,115,113,113,65,112,109,
Denmark,116,116,116,72,69,100,
Angola,117,109,109,116,121,106,
Bahamas,118,137,137,3,120,126,
Montenegro,119,126,126,41,115,110,
Zambia,120,119,119,75,118,111,
Trinidad and Tobago,121,122,122,60,127,121,
Mauritius,122,130,130,30,82,120,
Saint Lucia,123,129,129,35,135,134,
Ireland,124,117,117,120,67,95,
Congo,125,120,120,108,146,142,
Namibia,126,131,131,64,122,127,
Malta,127,133,133,79,113,112,
Tajikistan,128,124,124,135,126,124,
Botswana,129,135,135,51,138,138,
Suriname,130,134,134,74,130,132,
Libya,131,125,125,137,125,122,
Haiti,132,110,110,145,128,133,
Burkina Faso,133,128,128,136,108,116,
Maldives,134,140,140,46,139,135,
Bahrain,135,132,132,134,132,131,
Luxembourg,136,138,138,78,119,123,
Malawi,137,127,127,142,140,139,
Gabon,138,136,136,106,133,136,
Iceland,139,141,141,77,129,129,
Fiji,140,143,143,58,143,145,
Qatar,141,139,139,138,123,125,
Guyana,142,142,142,126,142,143,
Bermuda,143,144,144,107,144,144,
Macao,144,145,145,119,137,140,
Brunei Darussalam,145,146,146,139,141,141,
Afghanistan,146,114,114,146,145,146,
